sensor,date,lpl_conc,mpl_conc,lpl_ir,mpl_ir,bme_pres,bme_rh,bme_temp,ref_co2,ref_h2o,bme_h2o,N
0101121B,2023-06-16,489.367,1.806,34381.776,35228.655,968.153,50.27,20.955,440.164,1.353,1.2872636,58
0101121E,2023-06-16,462.486,1.527,34608.5,35740.879,968.286,49.955,20.892,440.164,1.353,1.2741302,58
1011222,2023-06-16,410.802,1.561,35632.017,35808.397,968.286,50.439,20.798,440.164,1.353,1.2790362,58
0101121B,2023-06-16 01:00,495.06,1.995,34468.586,34907.379,967.879,59.859,19.714,438.747,1.514,1.4199045,58
0101121E,2023-06-16 01:00,468.448,1.694,34628.448,35408.569,968.022,59.588,19.609,438.747,1.514,1.4041074,58
1011222,2023-06-16 01:00,415.934,1.731,35670.931,35507.224,968.066,60.107,19.562,438.747,1.514,1.4120475,58
0101121B,2023-06-16 02:00,490.919,1.931,34644.492,35166.136,968.124,60.375,19.014,432.08,1.426,1.3712442,59
0101121E,2023-06-16 02:00,464.003,1.632,34770.61,35663.034,968.281,59.909,18.975,432.08,1.426,1.3571479,59
1011222,2023-06-16 02:00,411.085,1.669,35834.237,35775.475,968.305,60.246,18.956,432.08,1.426,1.3631683,59
0101121B,2023-06-16 03:00,503.156,1.941,34489.526,35190.316,968.307,61.928,18.638,442.461,1.454,1.3736042,57
0101121E,2023-06-16 03:00,475.928,1.641,34589.368,35678.228,968.495,61.625,18.638,442.461,1.454,1.3666027,57
1011222,2023-06-16 03:00,422.018,1.682,35662.07,35802.035,968.5,61.947,18.55,442.461,1.454,1.3662538,57
0101121B,2023-06-16 04:00,512.788,1.972,34347.211,35125.754,968.46,63.588,18.499,448.398,1.456,1.3980043,57
0101121E,2023-06-16 04:00,484.495,1.662,34449.158,35631.421,968.6,63.158,18.497,448.398,1.456,1.3881124,57
1011222,2023-06-16 04:00,429.723,1.705,35527.333,35759.333,968.6,63.526,18.39,448.398,1.456,1.3869068,57
0101121B,2023-06-16 05:00,486.481,1.868,34501.189,35132.717,968.526,53.221,20.484,426.976,1.32,1.3224944,53
0101121E,2023-06-16 05:00,458.068,1.566,34745.226,35696.642,968.719,53.028,20.329,426.976,1.32,1.3048815,53
1011222,2023-06-16 05:00,405.191,1.608,35798.585,35745.604,968.708,53.432,20.317,426.976,1.32,1.3137868,53
0101121B,2023-06-16 06:00,482.942,1.923,34160.542,34624.814,968.802,46.515,23.08,422.141,1.361,1.3538264,59
0101121E,2023-06-16 06:00,451.742,1.62,34592.542,35216.983,969.007,46.48,22.861,422.141,1.361,1.3347272,59
1011222,2023-06-16 06:00,399.661,1.674,35605.186,35160.627,968.964,46.679,22.874,422.141,1.361,1.3415574,59
0101121B,2023-06-16 07:00,484.942,2.014,33481.271,33836.492,969.041,37.683,27.105,421.639,1.415,1.3901852,59
0101121E,2023-06-16 07:00,450.575,1.724,34160.932,34431.034,969.266,37.719,26.804,421.639,1.415,1.3669004,59
1011222,2023-06-16 07:00,398.963,1.793,35112.525,34238.356,969.224,37.845,26.87,421.639,1.415,1.376814,59
0101121B,2023-06-16 08:00,487.047,1.998,32716.534,33239.5,968.9,28.337,31.487,426.764,1.37,1.3459114,58
0101121E,2023-06-16 08:00,454.476,1.711,33525.983,33877.966,969.134,28.173,31.314,426.764,1.37,1.3242305,58
1011222,2023-06-16 08:00,404.274,1.796,34416.569,33583.759,969.079,28.453,31.214,426.764,1.37,1.3300016,58
0101121B,2023-06-16 09:00,472.479,1.69,32533.732,33606.018,968.538,19.85,33.926,418.733,1.101,1.0850915,56
0101121E,2023-06-16 09:00,444.92,1.422,33370.536,34315.036,968.73,19.694,33.753,418.733,1.101,1.0653601,56
1011222,2023-06-16 09:00,396.88,1.505,34200.625,33951.964,968.668,19.876,33.722,418.733,1.101,1.0738722,56
0101121B,2023-06-16 10:00,470.138,1.495,32081.643,33619.054,968.205,14.111,36.731,415.366,0.91,0.8963322,56
0101121E,2023-06-16 10:00,442.371,1.234,33006.714,34391.393,968.375,13.899,36.682,415.366,0.91,0.880254,56
1011222,2023-06-16 10:00,395.805,1.331,33808.607,33952.804,968.357,14.177,36.49,415.366,0.91,0.8888117,56
0101121B,2023-06-16 11:00,463.649,1.443,32015.203,33598.22,967.997,12.757,37.706,414.439,0.898,0.8574601,59
0101121E,2023-06-16 11:00,438.429,1.183,32952.712,34414.305,968.166,12.645,37.546,414.439,0.898,0.8425867,59
1011222,2023-06-16 11:00,393.456,1.278,33721.441,33962.136,968.19,12.954,37.362,414.439,0.898,0.8543221,59
0101121B,2023-06-16 12:00,461.689,1.437,32218.909,33767.836,967.709,13.678,36.729,413.689,0.905,0.8698793,55
0101121E,2023-06-16 12:00,436.829,1.182,33123.4,34564.527,967.884,13.617,36.536,413.689,0.905,0.856978,55
1011222,2023-06-16 12:00,391.558,1.273,33918.545,34146.218,967.913,13.953,36.298,413.689,0.905,0.8671348,55
0101121B,2023-06-16 13:00,462.407,1.361,31763.418,33546.582,967.275,10.537,39.242,414.077,0.83,0.7721271,55
0101121E,2023-06-16 13:00,437.24,1.102,32795.036,34457.673,967.407,10.651,38.783,414.077,0.83,0.7614356,55
1011222,2023-06-16 13:00,393.291,1.21,33547.018,33955.6,967.502,10.979,38.522,414.077,0.83,0.7738395,55
0101121B,2023-06-16 14:00,456.905,1.26,32259.618,34203.709,966.851,11.502,36.943,414.429,0.785,0.7443711,55
0101121E,2023-06-16 14:00,433.824,1.014,33189.909,35083.345,966.929,11.701,36.445,414.429,0.785,0.7368952,55
1011222,2023-06-16 14:00,389.391,1.091,33983,34693.164,967.075,12.067,36.149,414.429,0.785,0.7475734,55
0101121B,2023-06-16 15:00,456.533,1.157,32379.255,34614.364,966.533,10.771,36.3,416.358,0.708,0.6729767,55
0101121E,2023-06-16 15:00,434.511,0.922,33266.309,35486.873,966.627,10.97,35.817,416.358,0.708,0.6676855,55
1011222,2023-06-16 15:00,389.742,0.986,34079.182,35140.618,966.796,11.349,35.466,416.358,0.708,0.6774265,55
0101121B,2023-06-16 16:00,449.925,1.145,32957,35106.434,966.402,13.264,33.631,415.27,0.733,0.7147636,53
0101121E,2023-06-16 16:00,431.081,0.918,33647.868,35861.264,966.46,13.227,33.508,415.27,0.733,0.7079924,53
1011222,2023-06-16 16:00,386.357,0.977,34472.717,35555.396,966.6,13.54,33.245,415.27,0.733,0.7140186,53
0101121B,2023-06-16 17:00,450.285,1.131,33352.852,35556.204,966.593,15.275,31.317,416.449,0.739,0.7206443,54
0101121E,2023-06-16 17:00,432.035,0.909,33922.333,36244.611,966.656,15.124,31.333,416.449,0.739,0.7139757,54
1011222,2023-06-16 17:00,386.437,0.955,34780.407,36012.722,966.789,15.432,31.101,416.449,0.739,0.7189597,54
0101121B,2023-06-16 18:00,451.543,1.248,33751.633,35608.517,966.823,20.256,28.867,417.667,0.862,0.8312828,60
0101121E,2023-06-16 18:00,433.2,1.021,34216.867,36240.767,966.842,20.069,28.898,417.667,0.862,0.8251474,60
1011222,2023-06-16 18:00,386.7,1.058,35109.567,36087.383,966.993,20.394,28.712,417.667,0.862,0.8294702,60
0101121B,2023-06-16 19:00,471.307,1.373,33777.931,35591.121,967.05,25.996,26.692,437.168,1.002,0.9393054,58
0101121E,2023-06-16 19:00,452.647,1.143,34130.931,36153.69,967.129,25.875,26.755,437.168,1.002,0.9382884,58
