date,pressure(hPa),temp_detector_nc1(C) ,rh(%),temp_sensor(C),k96_lpl_raw,k96_spl_raw,k96_mpl_raw,k96_ch4(ppm) ,k96_h2o(ppm) ,ref_h2o(ppm),ref_ch4(ppm),ref_co2(ppm)
6/21/2022 15:00,1009.2,43.95,16.628,43.74,439344.248,747994.6,268342.276,128.0261094,21493.27205,21575,4.704,442.317
6/21/2022 15:01,1009.2,43.95,16.751,43.74,439341.086,748044.657,268102.162,128.1808367,21641.92952,21655,4.654,444
6/21/2022 15:02,1009.178,43.95,16.727,43.742,439337.686,748151.248,268184.59,128.3472253,21590.84146,21509.836,5.131,447.574
6/21/2022 15:03,1009.1,43.96,16.804,43.75,439327.19,748195.438,267971.505,128.8609762,21723.02915,21913.333,4.795,441.55
6/21/2022 15:04,1009.1,43.96,16.933,43.75,439324.667,748174.029,267727.038,128.9844927,21875.1657,21758.333,4.74,443.433
6/21/2022 15:05,1009.053,43.96,16.979,43.748,439330.171,748082.352,267698.362,128.715049,21893.04501,21856.667,3.975,438.75
6/21/2022 15:06,1009,43.952,17.049,43.741,439318.19,748023.895,267578.21,129.3016218,21968.03594,22103.279,4.231,446.459
6/21/2022 15:07,1009,43.95,17.136,43.74,439318.695,747990.476,267460.514,129.2768938,22041.61437,22000,4.084,445.8
6/21/2022 15:08,1009,43.95,17.141,43.74,439313.524,747983.686,267453.467,129.5301156,22046.02363,21833.333,4.531,450.317
6/21/2022 15:09,1008.948,43.95,17.169,43.74,439304.352,748022.352,267421.39,129.9793547,22066.09938,21993.443,6.045,483.443
6/21/2022 15:10,1008.9,43.95,17.09,43.747,439310.086,748097.019,267632.476,129.6984933,21934.15132,21825,4.943,458.517
6/21/2022 15:11,1008.9,43.96,17.036,43.75,439328.543,748074.914,267742.79,128.7947421,21865.34743,21738.333,4.046,444.383
6/21/2022 15:12,1008.9,43.96,16.985,43.742,439322.752,748059.371,267848.429,129.0782496,21799.55748,21649.18,4.275,448.23
6/21/2022 15:13,1008.9,43.951,16.854,43.741,439369.657,748059.943,268194.305,126.7832577,21584.82405,21401.667,3.567,437.3
6/21/2022 15:14,1008.9,43.95,16.812,43.74,439359.495,748044.314,268222.067,127.2802144,21567.63291,21426.667,3.996,443.083
